Opportunity,Abbr,Tier,Industry Context,Pipeline,Role Title,Opportunity Name,Opportunity Type,Listing Type,Deadline / Cycle,URL,URL Status,Review Status,Notes,Last Checked,Publish Status
Twin Cities PBS,TPT,Tier 2,Public Media,Production,Production Assistant,TPT Production Jobs,Entry-Level Job,Dynamic Manual,Rolling,https://www.tpt.org/jobs,OK 200,NEEDS REVIEW,Midwest doc unit; emerging filmmaker programs,"4/20/2026, 10:51:01 AM",DRAFT
Mother Jones,MJ,Tier 2,Investigative Journalism,Post/Editorial,Edit Assistant,Mother Jones Ben Bagdikian Fellowship,Fellowship,Static Program,Annual-varies,https://www.motherjones.com/jobs/fellowships/,OK 200,NEEDS REVIEW,"Yearlong editorial fellowship, $3,250/month. Digital, editorial, comms tracks","4/20/2026, 10:51:01 AM",DRAFT
Ida B. Wells Society,IBWS,Tier 2,Investigative Journalism,Development,Story Researcher,IBWS Investigative Internship,Internship,Static Program,Annual-varies,https://idabwellssociety.org/training/,OK 200,NEEDS REVIEW,"Places interns at NYT, Bloomberg, ProPublica and others; BIPOC-focused","4/20/2026, 10:51:01 AM",DRAFT
Institute for Nonprofit News,INN,Tier 2,Investigative Journalism,Development,Story Researcher,INN Internship & Fellowship Program,Fellowship/Internship,Static Program,Annual-varies,https://inn.org/resources/internships-fellowships,OK 200,NEEDS REVIEW,"Places fellows across 30+ nonprofit newsrooms; partners with Columbia, CUNY","4/20/2026, 10:51:01 AM",DRAFT
Type Investigations,TI,Tier 2,Investigative Journalism,Development,Story Researcher,Type Investigations Fellowship,Fellowship,Static Program,Annual-varies,https://typeinvestigations.org/ida-b-wells/,OK 200,NEEDS REVIEW,Editorial fellowships with investigative + documentary focus,"4/20/2026, 10:51:01 AM",DRAFT
The 19th,19TH,Tier 2,Investigative Journalism,Development,Story Researcher,The 19th Fellowship,Fellowship,Static Program,Annual-varies,https://19thnews.org/apply-for-a-19th-news-fellowship/,BLOCKED (alive) Request failed for https://19t,NEEDS REVIEW,Gender and politics investigative journalism,"4/20/2026, 10:51:01 AM",DRAFT
Pineapple Street Studios,PSS,Tier 2,Narrative Podcasting,Production,Production Assistant,Pineapple Street Production Jobs,Entry-Level Job,Dynamic Manual,Rolling,https://pineapple.fm/careers,DEAD 404,NEEDS REVIEW,Major narrative podcast studio; production assistant and researcher roles,"4/20/2026, 10:51:01 AM",DRAFT
Snap Judgment,SJ,Tier 2,Narrative Podcasting,Post/Editorial,Edit Assistant,Snap Judgment Internship,Internship,Dynamic Manual,Rolling,https://snapjudgment.org/careers/,OK 200,NEEDS REVIEW,Narrative audio storytelling; periodic internship openings,"4/20/2026, 10:51:01 AM",DRAFT
American Public Media,APM,Tier 1,Narrative Podcasting,Production,Production Coordinator,APM Production Jobs,Entry-Level Job,Dynamic Manual,Rolling,https://www.apm.org/careers,DEAD 404,NEEDS REVIEW,"Marketplace, BBC co-productions; production coordinator roles","4/20/2026, 10:51:01 AM",DRAFT
Academy Film Archive,AFA,Tier 2,Archival Media,Archival,Archive Assistant,Academy Film Archive Internship,Internship,Static Program,Annual-varies,https://www.oscars.org/filmarchive/internships,DEAD 404,NEEDS REVIEW,Strong preservation internship pipeline; highly competitive,"4/20/2026, 10:51:01 AM",DRAFT
George Eastman Museum,GEM,Tier 2,Archival Media,Archival,Archive Assistant,George Eastman Museum Film Internship,Internship,Static Program,Annual-varies,https://www.eastman.org/l-jeffrey-selznick-school-fellowships,BLOCKED (alive) Request failed for https://www,NEEDS REVIEW,Film preservation and cataloging internships,"4/20/2026, 10:51:01 AM",DRAFT
Northeast Historic Film,NHF,Tier 2,Archival Media,Archival,Archive Assistant,Northeast Historic Film Internship,Internship,Static Program,Annual-varies,https://www.oldfilm.org/about/employment,OK 200,NEEDS REVIEW,"Small org, strong hands-on preservation experience","4/20/2026, 10:51:01 AM",DRAFT
Pacific Film Archive (BAMPFA),PFA,Tier 2,Archival Media,Archival,Media Cataloging,BAMPFA Archive & Cataloging Internship,Internship,Static Program,Annual-varies,https://bampfa.org/about/employment,DEAD 404,NEEDS REVIEW,UC Berkeley; archival and cataloging roles,"4/20/2026, 10:51:01 AM",DRAFT
Black Film Center/Archive,BFCA,Tier 2,Archival Media,Archival,Archival Researcher,Black Film Center/Archive Fellowship,Fellowship,Static Program,Annual-varies,https://bfca.indiana.edu/about/opportunities.html,DEAD 404,NEEDS REVIEW,Indiana University; archival research fellowships focused on Black cinema,"4/20/2026, 10:51:01 AM",DRAFT
Netflix Documentary,NFX,Tier 3,Non-Fiction Brand Storytelling,Production,Production Coordinator,Netflix Documentary Production Jobs,Entry-Level Job,Dynamic Manual,Rolling,https://www.linkedin.com/company/netflix/jobs/,OK 200,NEEDS REVIEW,Large doc slate; production coordinator roles. Highly competitive.,"4/20/2026, 10:51:01 AM",DRAFT
HBO Documentary Films,HBO,Tier 3,Non-Fiction Brand Storytelling,Production,Production Assistant,HBO Documentary Production Jobs,Entry-Level Job,Dynamic Manual,Rolling,https://www.linkedin.com/company/warner-bros-discovery/jobs/,OK 200,NEEDS REVIEW,Prestige doc unit under Warner Bros Discovery. Highly competitive.,"4/20/2026, 10:51:01 AM",DRAFT
Hulu Originals,HULU,Tier 3,Non-Fiction Brand Storytelling,Production,Production Assistant,Hulu Documentary Production Jobs,Entry-Level Job,Dynamic Manual,Rolling,https://www.linkedin.com/company/the-walt-disney-company/jobs/,OK 200,NEEDS REVIEW,Doc production roles under Disney Entertainment. Highly competitive.,"4/20/2026, 10:51:01 AM",DRAFT
Apple Original Films,AAPL,Tier 3,Non-Fiction Brand Storytelling,Production,Production Coordinator,Apple Original Films Production Jobs,Entry-Level Job,Dynamic Manual,Rolling,https://www.linkedin.com/company/apple/jobs/,OK 200,NEEDS REVIEW,Growing doc slate; production coordinator roles. Highly competitive.,"4/20/2026, 10:51:01 AM",DRAFT
A24,A24,Tier 2,Non-Fiction Brand Storytelling,Post/Editorial,Assistant Editor,A24 Documentary Jobs,Entry-Level Job,Dynamic Manual,Rolling,https://a24films.com/jobs,OK 200,NEEDS REVIEW,Increasingly active in docs; archival/research and editorial roles,"4/20/2026, 10:51:01 AM",DRAFT
Condé Nast Entertainment,CNE,Tier 3,Non-Fiction Brand Storytelling,Production,Production Coordinator,Condé Nast Entertainment Production Jobs,Entry-Level Job,Dynamic Manual,Rolling,https://www.linkedin.com/company/conde-nast/jobs/,OK 200,NEEDS REVIEW,Brand doc/video unit; production coordinator roles,"4/20/2026, 10:51:01 AM",DRAFT
REI Co-op Studios,REI,Tier 2,Non-Fiction Brand Storytelling,Production,Associate Producer (Junior),REI Co-op Studios Production Jobs,Entry-Level Job,Dynamic Manual,Rolling,https://www.linkedin.com/company/rei-co-op/jobs/,DEAD 404,NEEDS REVIEW,Outdoor/environmental doc content; production and story roles,"4/20/2026, 10:51:01 AM",DRAFT
BAFTA,BAFTA,Tier 1,Documentary Film/Series,Development,Grants/Funding Assistant,BAFTA US Scholarship Programme,Fellowship,Static Program,Annual-Spring,https://www.bafta.org/programmes/us-scholarships,BLOCKED (alive) Request failed for https://www,NEEDS REVIEW,Financial support for international students studying film in the US. Deadline June 26 2026. US-based program from UK org.,"4/20/2026, 10:51:01 AM",DRAFT
BAFTA,BAFTA,Tier 1,Documentary Film/Series,Development,Development Assistant,BAFTA Vance Byrd Mentorship (USA),Fellowship,Static Program,Annual-varies,https://www.bafta.org/programmes/access-early-career-support,BLOCKED (alive) Request failed for https://www,NEEDS REVIEW,US-based mentorship program for underrepresented early-career talent in film/TV,"4/20/2026, 10:51:01 AM",DRAFT
DOC NYC,DNYC,Tier 1,Documentary Film/Series,Development,Development Assistant,DOC NYC Internship / Jobs,Internship,Dynamic Manual,Rolling,https://www.docnyc.net/jobs,DEAD 404,NEEDS REVIEW,"America's largest doc festival, based in NYC; production and development roles","4/20/2026, 10:51:01 AM",DRAFT
Shorenstein Center (Harvard),SHCC,Tier 2,Documentary Film/Series,Impact/Distribution,Impact Campaign Assistant,Documentary Film in the Public Interest Fellowship,Fellowship,Static Program,Annual-varies,https://shorensteincenter.org/research/documentary-film-in-the-public-interest,OK 200,NEEDS REVIEW,Harvard-based; researches public impact of documentary film. Spring 2026 cohort active.,"4/20/2026, 10:51:01 AM",DRAFT
SFFILM,SFF,Tier 2,Documentary Film/Series,Development,Grants/Funding Assistant,SFFILM Documentary Film Fund,Grant,Static Program,Annual-varies,https://sffilm.org/artist-development/fund-your-film/,OK 200,NEEDS REVIEW,Post-production grants for doc features; open to filmmakers internationally,"4/20/2026, 10:51:01 AM",DRAFT
Hot Docs (US accessible),HDOCS,Tier 2,Documentary Film/Series,Development,Grants/Funding Assistant,Hot Docs Forum / Cross Border Fund,Grant/Lab,Static Program,Annual-varies,https://www.hotdocs.ca/industry/professional-development/funding,DEAD 404,NEEDS REVIEW,Canadian org but Cross Border Fund open to US/Canada co-productions; US filmmakers eligible,"4/20/2026, 10:51:01 AM",DRAFT
DocSociety (US programs),DOCS,Tier 1,Documentary Film/Series,Impact/Distribution,Impact Campaign Assistant,DocSociety Good Pitch / Impact Fund,Grant/Lab,Static Program,Annual-varies,https://docsociety.org/good-pitch,DEAD 404,NEEDS REVIEW,UK-founded but runs Good Pitch USA; connects doc filmmakers with funders and NGOs for impact campaigns,"4/20/2026, 10:51:01 AM",DRAFT
Nike,NIKE,Tier 3,Non-Fiction Brand Storytelling,Production,Production Coordinator,Nike Storytelling / Production Jobs,Entry-Level Job,Dynamic Manual,Rolling,https://www.linkedin.com/company/nike/jobs/,OK 200,NEEDS REVIEW,Internal storytelling + athlete narratives; Waffle Iron Entertainment unit,"4/20/2026, 10:51:01 AM",DRAFT
GoPro,GPR,Tier 3,Non-Fiction Brand Storytelling,Production,Production Assistant,GoPro Content / Production Jobs,Entry-Level Job,Dynamic Manual,Rolling,https://www.linkedin.com/company/gopro/jobs/,OK 200,NEEDS REVIEW,Documentary-style user and brand storytelling,"4/20/2026, 10:51:01 AM",DRAFT
The North Face,TNF,Tier 3,Non-Fiction Brand Storytelling,Production,Production Coordinator,The North Face Content / Film Jobs,Entry-Level Job,Dynamic Manual,Rolling,https://www.linkedin.com/company/the-north-face/jobs/,OK 200,NEEDS REVIEW,Expedition storytelling + film content,"4/20/2026, 10:51:01 AM",DRAFT
YETI,YETI,Tier 3,Non-Fiction Brand Storytelling,Production,Production Assistant,YETI Presents / Content Jobs,Entry-Level Job,Dynamic Manual,Rolling,https://www.linkedin.com/company/yeti-coolers/jobs/,BLOCKED (alive) Request failed for https://www,NEEDS REVIEW,YETI Presents documentary-style storytelling series,"4/20/2026, 10:51:01 AM",DRAFT
Arc'teryx,ARC,Tier 3,Non-Fiction Brand Storytelling,Production,Production Assistant,Arc'teryx Film / Content Jobs,Entry-Level Job,Dynamic Manual,Rolling,https://www.linkedin.com/company/arcteryx/jobs/,BLOCKED (alive) Request failed for https://www,NEEDS REVIEW,Climbing and expedition films,"4/20/2026, 10:51:01 AM",DRAFT
Columbia Sportswear,CSW,Tier 3,Non-Fiction Brand Storytelling,Production,Production Coordinator,Columbia Sportswear Content Jobs,Entry-Level Job,Dynamic Manual,Rolling,https://www.linkedin.com/company/columbia-sportswear/jobs/,OK 200,NEEDS REVIEW,Branded storytelling campaigns,"4/20/2026, 10:51:01 AM",DRAFT
Salomon,SAL,Tier 3,Non-Fiction Brand Storytelling,Production,Production Assistant,Salomon Film / Content Jobs,Entry-Level Job,Dynamic Manual,Rolling,https://www.salomon.com/en-us/careers,BLOCKED (alive) Request failed for https://www,NEEDS REVIEW,Trail and outdoor narrative films,"4/20/2026, 10:51:01 AM",DRAFT
Burton Snowboards,BUR,Tier 3,Non-Fiction Brand Storytelling,Production,Production Assistant,Burton Film / Content Jobs,Entry-Level Job,Dynamic Manual,Rolling,https://www.linkedin.com/company/burton-snowboards/jobs/,OK 200,NEEDS REVIEW,Culture and athlete storytelling,"4/20/2026, 10:51:01 AM",DRAFT
Lululemon,LULU,Tier 3,Non-Fiction Brand Storytelling,Production,Production Coordinator,Lululemon Content / Storytelling Jobs,Entry-Level Job,Dynamic Manual,Rolling,https://www.linkedin.com/company/lululemon-athletica/jobs/,DEAD 404,NEEDS REVIEW,Community storytelling,"4/20/2026, 10:51:01 AM",DRAFT
Vans,VANS,Tier 3,Non-Fiction Brand Storytelling,Production,Production Assistant,Vans Film / Content Jobs,Entry-Level Job,Dynamic Manual,Rolling,https://www.linkedin.com/company/vf-corporation/jobs/,OK 200,NEEDS REVIEW,Youth culture and documentary-style content; VF Corporation parent,"4/20/2026, 10:51:01 AM",DRAFT
Peloton,PEL,Tier 3,Non-Fiction Brand Storytelling,Production,Production Coordinator,Peloton Content / Production Jobs,Entry-Level Job,Dynamic Manual,Rolling,https://www.linkedin.com/company/peloton-interactive/jobs/,DEAD 404,NEEDS REVIEW,Instructor and human narrative storytelling,"4/20/2026, 10:51:01 AM",DRAFT
Ford Motor Company,FORD,Tier 3,Non-Fiction Brand Storytelling,Production,Production Coordinator,Ford Brand Content / Film Jobs,Entry-Level Job,Dynamic Manual,Rolling,https://ford.jobs,OK 200,NEEDS REVIEW,Branded documentary and heritage storytelling,"4/20/2026, 10:51:01 AM",DRAFT
Rivian,RIVN,Tier 3,Non-Fiction Brand Storytelling,Production,Production Assistant,Rivian Content / Storytelling Jobs,Entry-Level Job,Dynamic Manual,Rolling,https://rivian.com/careers,OK 200,NEEDS REVIEW,Adventure-driven narrative content,"4/20/2026, 10:51:01 AM",DRAFT
Airbnb,ABB,Tier 3,Non-Fiction Brand Storytelling,Development,Story Researcher,Airbnb Storytelling / Content Jobs,Entry-Level Job,Dynamic Manual,Rolling,https://www.linkedin.com/company/airbnb/jobs/,OK 200,NEEDS REVIEW,Global storytelling and community narratives,"4/20/2026, 10:51:01 AM",DRAFT
Google,GOOG,Tier 3,Non-Fiction Brand Storytelling,Development,Story Researcher,Google Editorial / Storytelling Jobs,Entry-Level Job,Dynamic Manual,Rolling,https://www.linkedin.com/company/google/jobs/,OK 200,NEEDS REVIEW,Editorial storytelling and human-interest films unit,"4/20/2026, 10:51:01 AM",DRAFT
Meta,META,Tier 3,Non-Fiction Brand Storytelling,Production,Production Coordinator,Meta Documentary / Storytelling Jobs,Entry-Level Job,Dynamic Manual,Rolling,https://www.linkedin.com/company/meta/jobs/,OK 200,NEEDS REVIEW,Creator storytelling and documentary-style initiatives,"4/20/2026, 10:51:01 AM",DRAFT
Spotify,SPOT,Tier 2,Narrative Podcasting,Post/Editorial,Edit Assistant,Spotify Podcast / Video Storytelling Jobs,Entry-Level Job,Dynamic Manual,Rolling,https://www.lifeatlifeatspotify.com/students,BLOCKED (alive) DNS error: https://www.lifeatl,NEEDS REVIEW,Documentary podcasts and video storytelling; Gimlet Media parent,"4/20/2026, 10:51:01 AM",DRAFT
Gimlet Media,GIM,Tier 2,Narrative Podcasting,Post/Editorial,Edit Assistant,Gimlet Media / Spotify Podcast Jobs,Entry-Level Job,Dynamic Manual,Rolling,https://www.lifeatlifeatspotify.com/students,BLOCKED (alive) DNS error: https://www.lifeatl,NEEDS REVIEW,Narrative audio studio now under Spotify; search via Spotify careers,"4/20/2026, 10:51:01 AM",DRAFT
YouTube,YT,Tier 3,Non-Fiction Brand Storytelling,Development,Development Coordinator,YouTube Creator / Storytelling Jobs,Entry-Level Job,Dynamic Manual,Rolling,https://www.linkedin.com/company/google/jobs/,OK 200,NEEDS REVIEW,Creator storytelling initiatives; roles via Google Careers,"4/20/2026, 10:51:01 AM",DRAFT
Adobe,ADO,Tier 3,Non-Fiction Brand Storytelling,Development,Story Researcher,Adobe Storytelling / Content Jobs,Entry-Level Job,Dynamic Manual,Rolling,https://www.linkedin.com/company/adobe/jobs/,OK 200,NEEDS REVIEW,Creative storytelling and documentary-style content; sponsors Sundance fellowship,"4/20/2026, 10:51:01 AM",DRAFT
ESPN,ESPN,Tier 2,Non-Fiction Brand Storytelling,Post/Editorial,Assistant Editor,ESPN Films / 30 for 30 Jobs,Entry-Level Job,Dynamic Manual,Rolling,https://www.linkedin.com/company/the-walt-disney-company/jobs/,OK 200,NEEDS REVIEW,Long-form storytelling via 30 for 30 doc unit; roles via Disney Careers,"4/20/2026, 10:51:01 AM",DRAFT
Vox Media,VOX,Tier 2,Non-Fiction Brand Storytelling,Production,Production Coordinator,Vox Creative / Editorial Video Jobs,Entry-Level Job,Dynamic Manual,Rolling,https://www.linkedin.com/company/vox-media/jobs/,DEAD 404,NEEDS REVIEW,Vox Creative studio and editorial video production,"4/20/2026, 10:51:01 AM",DRAFT
Squarespace,SQS,Tier 3,Non-Fiction Brand Storytelling,Production,Production Assistant,Squarespace Storytelling / Content Jobs,Entry-Level Job,Dynamic Manual,Rolling,https://www.squarespace.com/about/careers,OK 200,NEEDS REVIEW,Creator-focused storytelling films,"4/20/2026, 10:51:01 AM",DRAFT
Marriott International,MAR,Tier 3,Non-Fiction Brand Storytelling,Production,Production Coordinator,Marriott Content Studio Jobs,Entry-Level Job,Dynamic Manual,Rolling,https://www.linkedin.com/company/marriott-international/jobs/,OK 200,NEEDS REVIEW,Internal content studio producing films and series,"4/20/2026, 10:51:01 AM",DRAFT
Expedia,EXP,Tier 3,Non-Fiction Brand Storytelling,Production,Production Assistant,Expedia Travel Storytelling Jobs,Entry-Level Job,Dynamic Manual,Rolling,https://lifeatexpediagroup.com,OK 200,NEEDS REVIEW,Travel storytelling campaigns,"4/20/2026, 10:51:01 AM",DRAFT
Intrepid Travel,INTR,Tier 3,Non-Fiction Brand Storytelling,Production,Production Assistant,Intrepid Travel Content Jobs,Entry-Level Job,Dynamic Manual,Rolling,https://www.intrepidtravel.com/au/about/careers,DEAD 404,NEEDS REVIEW,Documentary-style storytelling for adventure travel,"4/20/2026, 10:51:01 AM",DRAFT
The Nature Conservancy,TNC,Tier 2,Non-Fiction Brand Storytelling,Impact/Distribution,Outreach Coordinator,TNC Storytelling / Media Jobs,Entry-Level Job,Dynamic Manual,Rolling,https://www.nature.org/en-us/about-us/careers,OK 200,NEEDS REVIEW,Environmental storytelling; periodic media and impact roles,"4/20/2026, 10:51:01 AM",DRAFT
World Wildlife Fund,WWF,Tier 2,Non-Fiction Brand Storytelling,Impact/Distribution,Outreach Coordinator,WWF Media / Storytelling Jobs,Entry-Level Job,Dynamic Manual,Rolling,https://www.worldwildlife.org/about/jobs,BLOCKED (alive) Request failed for https://www,NEEDS REVIEW,Documentary-style media and advocacy storytelling,"4/20/2026, 10:51:01 AM",DRAFT
Charity: Water,CW,Tier 2,Non-Fiction Brand Storytelling,Impact/Distribution,Story Researcher,Charity: Water Storytelling Jobs,Entry-Level Job,Dynamic Manual,Rolling,https://www.charitywater.org/careers,DEAD 404,NEEDS REVIEW,Strong narrative storytelling nonprofit; field story and content roles,"4/20/2026, 10:51:01 AM",DRAFT
Sierra Club,SC,Tier 2,Non-Fiction Brand Storytelling,Impact/Distribution,Outreach Coordinator,Sierra Club Media / Campaign Jobs,Entry-Level Job,Dynamic Manual,Rolling,https://www.sierraclub.org/jobs,OK 200,NEEDS REVIEW,Environmental campaigns and documentary storytelling,"4/20/2026, 10:51:01 AM",DRAFT
Greenpeace,GP,Tier 2,Non-Fiction Brand Storytelling,Impact/Distribution,Outreach Coordinator,Greenpeace Media / Storytelling Jobs,Entry-Level Job,Dynamic Manual,Rolling,https://www.greenpeace.org/usa/about/jobs,OK 200,NEEDS REVIEW,Investigative and visual storytelling for advocacy,"4/20/2026, 10:51:01 AM",DRAFT
Earthjustice,EJ,Tier 2,Non-Fiction Brand Storytelling,Impact/Distribution,Outreach Coordinator,Earthjustice Communications Jobs,Entry-Level Job,Dynamic Manual,Rolling,https://earthjustice.org/about/jobs,OK 200,NEEDS REVIEW,Story-driven legal environmental advocacy,"4/20/2026, 10:51:01 AM",DRAFT
DocSociety / Good Pitch,DS,Tier 1,Documentary Film/Series,Impact/Distribution,Impact Campaign Assistant,DocSociety Good Pitch USA Jobs,Entry-Level Job,Dynamic Manual,Rolling,https://docsociety.org/jobs,OK 200,NEEDS REVIEW,"UK-founded, US programs; connects doc filmmakers with funders for impact","4/20/2026, 10:51:01 AM",DRAFT
On Being Project,OBP,Tier 2,Narrative Podcasting,Post/Editorial,Edit Assistant,On Being Project Editorial Jobs,Entry-Level Job,Dynamic Manual,Rolling,https://onbeing.org/our-story/,OK 200,NEEDS REVIEW,Narrative and philosophical audio storytelling; editorial and production roles,"4/20/2026, 10:51:01 AM",DRAFT
New York Public Library,NYPL,Tier 2,Archival Media,Archival,Archival Researcher,NYPL Media Archival Jobs,Internship,Dynamic Manual,Rolling,https://www.nypl.org/careers,OK 200,NEEDS REVIEW,Performing Arts division; media cataloging and archival research,"4/20/2026, 10:51:01 AM",DRAFT
Getty Trust,GETTY,Tier 2,Archival Media,Archival,Archival Researcher,Getty Foundation Internship / Fellowship,Internship,Static Program,Annual-varies,https://www.getty.edu/foundation/initiatives/current,OK 200,NEEDS REVIEW,Visual storytelling and archives; Getty Foundation internship programs,"4/20/2026, 10:51:01 AM",DRAFT
TED,TED,Tier 2,Non-Fiction Brand Storytelling,Development,Story Researcher,TED Editorial / Storytelling Jobs,Entry-Level Job,Dynamic Manual,Rolling,https://www.ted.com/about/our-organization/jobs-at-ted,OK 200,NEEDS REVIEW,Idea-based storytelling; editorial and curation roles,"4/20/2026, 10:51:01 AM",DRAFT
Open Society Foundations,OSF,Tier 2,Documentary Film/Series,Development,Grants/Funding Assistant,OSF Documentary / Media Grants,Grant,Static Program,Annual-varies,https://www.opensocietyfoundations.org/grants,OK 200,NEEDS REVIEW,Founding funder of Sundance DFP; documentary and investigative media grants,"4/20/2026, 10:51:01 AM",DRAFT
Aspen Institute,ASPEN,Tier 2,Non-Fiction Brand Storytelling,Development,Story Researcher,Aspen Institute Media / Narrative Jobs,Entry-Level Job,Dynamic Manual,Rolling,https://www.aspeninstitute.org/careers,BLOCKED (alive) Request failed for https://www,NEEDS REVIEW,Narrative and media initiatives; Communications and story roles,"4/20/2026, 10:51:01 AM",DRAFT
The Redford Center,TRC,Tier 1,Documentary Film/Series,Development,Grants/Funding Assistant,Redford Center Grants Program,Grant/Fellowship,Static Program,Annual-Spring,https://www.redfordcenter.org/opportunities,OK 200,NEEDS REVIEW,2026 Open Call deadline May 14. $40k grant + yearlong mentorship + cohort. Environmental docs only. One of the only US nonprofits solely dedicated to environmental impact filmmaking.,"4/20/2026, 10:51:01 AM",DRAFT
The Redford Center,TRC,Tier 1,Documentary Film/Series,Impact/Distribution,Impact Campaign Assistant,Redford Center Jobs / Internships,Entry-Level Job,Dynamic Manual,Rolling,https://www.redfordcenter.org/careers,OK 200,NEEDS REVIEW,Small mission-driven team; check careers page for production and impact roles,"4/20/2026, 10:51:01 AM",DRAFT
Impact Partners,IP,Tier 1,Documentary Film/Series,Development,Grants/Funding Assistant,Impact Partners Documentary Fund,Grant/Fund,Static Program,Annual-varies,https://www.impactpartners.com/apply,DEAD 404,NEEDS REVIEW,Leading documentary fund; co-financing and development support,"4/20/2026, 10:51:01 AM",DRAFT
Lighthouse Works,LHW,Tier 2,Documentary Film/Series,Post/Editorial,Edit Assistant,Lighthouse Works Fellowship Program,Fellowship,Static Program,Annual-varies,https://lighthouseworks.org/fellowship,DEAD 404,NEEDS REVIEW,Block Island-based artist residency with film focus; post/editorial track,"4/20/2026, 10:51:01 AM",DRAFT
Panavision,PAN,Tier 2,Documentary Film/Series,Production,Production Assistant,Panavision New Filmmaker Program (Equipment Grant),Grant,Static Program,Annual-varies,https://www.panavision.com/new-filmmaker-program,OK 200,NEEDS REVIEW,Equipment grant for emerging filmmakers; camera package valued at $60k+,"4/20/2026, 10:51:01 AM",DRAFT
Pop Culture Collaborative,PCC,Tier 2,Documentary Film/Series,Development,Grants/Funding Assistant,Pop Culture Collaborative Grants,Grant,Static Program,Annual-varies,https://popcollab.org/grantmaking,OK 200,NEEDS REVIEW,Funds narrative change through pop culture and non-fiction storytelling,"4/20/2026, 10:51:01 AM",DRAFT
ReelWorks,RW,Tier 2,Documentary Film/Series,Production,Production Assistant,ReelWorks / MediaMKRS Program,Apprenticeship,Static Program,Annual-varies,https://www.reelworks.org/mediamkrs,DEAD 404,NEEDS REVIEW,NYC-based youth documentary training; MediaMKRS mentorship program,"4/20/2026, 10:51:01 AM",DRAFT
The Starfish,STAR,Tier 2,Documentary Film/Series,Impact/Distribution,Outreach Coordinator,The Starfish Impact Distribution Fellowship,Fellowship,Dynamic Manual,Annual-varies,https://www.thestarfish.org/opportunities,DEAD 404,NEEDS REVIEW,Documentary impact distribution organization; confirm current programs,"4/20/2026, 10:51:01 AM",DRAFT
Women in Film,WIF,Tier 2,Documentary Film/Series,Development,Development Assistant,WIF Grants & Finishing Fund,Grant/Fellowship,Static Program,Annual-varies,https://womeninfilm.org/grants-and-community-funding,DEAD 404,NEEDS REVIEW,Finishing fund + mentorship for women doc filmmakers,"4/20/2026, 10:51:01 AM",DRAFT
Women in Film,WIF,Tier 2,Documentary Film/Series,Development,Development Assistant,WIF Mentorship Program,Fellowship,Static Program,Annual-varies,https://womeninfilm.org/mentorship,DEAD 404,NEEDS REVIEW,Pairs emerging women filmmakers with established mentors,"4/20/2026, 10:51:01 AM",DRAFT
BRIC Media,BRIC,Tier 2,Documentary Film/Series,Development,Development Assistant,BRIC TV Open Call,Open Call,Static Program,Annual-varies,https://www.bric.tv/programs/bric-tv,DEAD 404,NEEDS REVIEW,Open call for local Brooklyn/NYC doc content; separate from BRIClab residency,"4/20/2026, 10:51:01 AM",DRAFT
Chicken & Egg Pictures,C&E,Tier 1,Documentary Film/Series,Development,Development Assistant,Chicken & Egg (Egg)celerator Lab,Lab/Fellowship,Static Program,Annual-varies,https://www.chickeneggfilms.org/programs/egg-celerator-lab,OK 200,NEEDS REVIEW,Women/gender-expansive filmmakers. $40k + mentorship + retreats. 2026 cohort announced Jan. Next apps spring 2027. Domain changed from chickeneggpics.org.,"4/20/2026, 10:51:01 AM",DRAFT
Creative Capital,CC,Tier 1,Documentary Film/Series,Development,Grants/Funding Assistant,Creative Capital Grant,Grant,Static Program,Annual-varies,https://creative-capital.org/apply,OK 200,NEEDS REVIEW,Up to $50k + $40k advisory services; open application for all disciplines including non-fiction,"4/20/2026, 10:51:01 AM",DRAFT
Google Creative Lab,GCL,Tier 2,Non-Fiction Brand Storytelling,Development,Story Researcher,Google Creative Lab Five Program,Fellowship,Static Program,Annual-varies,https://creativelab5.withgoogle.com,DEAD 404,NEEDS REVIEW,5-person creative residency at Google; non-fiction/interactive storytelling focus,"4/20/2026, 10:51:01 AM",DRAFT
National Endowment for the Humanities,NEH,Tier 2,Documentary Film/Series,Development,Grants/Funding Assistant,NEH Public Programs Media Grant,Grant,Static Program,Annual-varies,https://www.neh.gov/grants/public/media-projects,BLOCKED (alive) Request failed for https://www,NEEDS REVIEW,Federal grants for documentary media exploring humanities themes,"4/20/2026, 10:51:01 AM",DRAFT
Puffin Foundation,PF,Tier 2,Documentary Film/Series,Development,Grants/Funding Assistant,Puffin Foundation Grant,Grant,Static Program,Annual-Spring,https://www.puffinfoundation.org/grants,OK 200,NEEDS REVIEW,"Small grants ($2,500-$5,000) for non-fiction and social justice media","4/20/2026, 10:51:01 AM",DRAFT
From the Heart Productions,RWD,Tier 2,Documentary Film/Series,Development,Grants/Funding Assistant,Roy W. Dean Grant,Grant,Static Program,Annual-varies,https://www.fromtheheartproductions.com/roy-w-dean-grant,OK 200,NEEDS REVIEW,Film/doc grant for projects that make a contribution to society; 3 cycles/year,"4/20/2026, 10:51:01 AM",DRAFT
